package_index,molecule_id,source_group,smiles,actual_pg,chemical_graph_pass,pipeline_geometry_pass,bond_geometry_pass,uff_stability_pass,strict_screen_pass,atom_count,minimum_pair_distance_angstrom,minimum_nonbonded_distance_angstrom,minimum_bond_covalent_radius_ratio,maximum_bond_covalent_radius_ratio,centroid_norm_angstrom,uff_status,uff_initial_energy_kcal_mol,uff_final_energy_kcal_mol,uff_relaxation_kabsch_rmsd_angstrom
30,mol_007_C3k3,C3k3,C1CC23CCC24CCC134,C3,True,True,True,True,True,21,1.11166722671062,1.8340448070755475,0.9603648967242036,1.0422130871146367,1.1488859499785197e-16,converged,587.200678183684,587.2006780429019,3.197035459428235e-06
31,mol_008_C3k3,C3k3,C1=CC23C=CC24C=CC134,C3v,True,True,True,True,True,15,1.0867091618895999,2.0651790553727825,0.8878945230151123,1.0156174799617814,4.4408920985006264e-17,converged,493.3270836251054,493.327083601021,2.6963308368139575e-06
32,mol_009_C3k3,C3k3,C1C23CC14CC(C2)(C3)C4,D3h,True,True,True,True,True,21,1.1246419551316686,1.5904036043558063,1.051067247786606,1.065250250751095,1.329337799698461e-16,converged,763.7285299388736,763.7285298856128,1.984796891811494e-06
33,mol_010_C3k3,C3k3,OC1OC(O)OC(O)O1,C3,True,True,True,True,True,15,0.9928973101469337,1.9324077323437403,0.9858570777339245,1.0461833182627143,7.729594214395276e-17,converged,18.06447585041153,18.064475847931686,1.7376600644431456e-07
34,mol_011_C3k3,C3k3,C1CCCCCCCC1,D3,True,True,True,True,True,27,1.1067902031951231,1.751737572373002,1.015490195590142,1.0395239555967497,5.592839158354863e-17,converged,30.72380081496097,30.723800810842867,6.238962792760649e-07
35,mol_012_C3k3,C3k3,C=C1CC(=C)CC(=C)C1,C3v,True,True,True,True,True,21,1.085834581410742,1.799210765274651,0.8831187845290005,1.0405411569064495,5.288428167272273e-17,converged,16.535598181918907,16.535598178213206,8.66387108016858e-07
36,mol_013_C3k3,C3k3,CC1(C)C(C)(C)C1(C)C,D3,True,True,True,True,True,27,1.1040084523098503,1.7718010138771194,1.0167704540988791,1.0378176192311297,4.428691822430975e-17,converged,313.8730571073287,313.87305680197557,2.7715847256244495e-06
37,mol_014_C3k3,C3k3,Cc1cc(C)cc(C)c1,C3v,True,True,True,True,True,21,1.0838248628166318,1.7969280437582473,0.9229436554844606,1.0382119698024337,6.437070803312784e-17,converged,16.577621578680517,16.57762157708224,5.351647899986713e-07
38,mol_015_C3k3,C3k3,CC1(O)C(C)(O)C1(C)O,C3,True,True,True,True,True,21,0.9918627569774799,1.784243413904358,0.9872934242232967,1.0373067139059577,1.0626288865892818e-16,converged,300.6373502556184,300.6373502154313,2.1891328681840003e-06
39,mol_016_C3k3,C3k3,CCC1C(CC)C1CC,C3,True,True,True,True,True,27,1.1053709885343346,1.791087399075883,1.0026975088954913,1.0389601543842653,4.193369531113834e-17,converged,290.5569589002283,290.556958869897,1.6437989351233624e-06
40,mol_017_C3k3,C3k3,C1C23CC4(CC1(N2)N4)N3,C3v,True,True,True,True,True,18,1.0606213864130731,1.6160771806956435,1.021566228626509,1.058614090407294,6.290054296670751e-17,converged,916.2383487503183,916.2383486694677,2.4372047577780467e-06
41,mol_018_C3k3,C3k3,C1C2CC3CC1C1C2C31,C3v,True,True,True,True,True,21,1.109928989701324,1.810315782674968,0.9975884144790538,1.0399173452601054,7.697662496076695e-17,converged,312.43816903847545,312.4381690042458,1.4886309769060976e-06
42,mol_019_C3k3,C3k3,C1=C2C=C3C=C1C1C2C31,C3v,True,True,True,True,True,15,1.0835043183266404,2.112185978236318,0.8919179067020201,1.0374002942836273,5.127900497022837e-17,converged,491.3940255737982,491.39402556474965,1.5994108145456806e-06
43,mol_020_C3k3,C3k3,NC1CC(N)CC(N)C1,C3v,True,True,True,True,True,24,1.0462003531578732,1.669251916744307,0.9955888276606942,1.0418984256642483,4.443059973708341e-17,converged,11.78563093236758,11.785630927712678,8.999542657409518e-07
44,mol_021_C3k3,C3k3,C1CNCCNCCN1,C3,True,True,True,True,True,24,1.0471861066718062,1.774782639235665,1.001157876344996,1.0405534671535033,5.869646222978623e-17,converged,25.7360495001649,25.736049481671827,2.4212104702537493e-06
45,mol_022_C3k3,C3k3,CC=C1C(=CC)C1=CC,C3h,True,True,True,True,True,21,1.0822361266662501,1.8067848863228433,0.872223853398666,1.037974613055353,2.8911703036752386e-17,converged,-1.70095146804257,-1.7009514681029099,1.4694623893190407e-07
46,mol_023_C3k3,C3k3,o1c2oc3oc1c1c2c31,C3v,True,True,True,True,True,9,1.2481682247494557,1.7483004888104319,0.8211633057562208,1.004905598054269,2.7755575615628914e-17,converged,894.4006565753324,894.4006565753324,1.1739292445957246e-16
47,mol_024_C3k3,C3k3,C1COCCOCCO1,C3,True,True,True,True,True,21,1.11068495632458,1.781214129971263,0.997397613557929,1.041599603658858,5.987142872961036e-17,converged,30.038914415116427,30.038914414971384,5.934786753541958e-07
48,mol_025_C3k3,C3k3,C1c2c3c(c4c(c21)C4)C3,D3,True,True,True,True,True,15,1.1529467892271439,1.57749279630034,0.9555418090298894,1.2997403006702206,3.568867705432764e-17,converged,1602.7750326066603,1602.775032340439,1.5162978995287117e-06
49,mol_026_C3k3,C3k3,C1C2C3CC3C3CC3C12,C3v,True,True,True,True,True,21,1.0953496136588252,1.897713735530864,1.002223024082667,1.0382316230354256,7.01370134532409e-17,converged,851.2212071359385,851.22120698404,2.9601744577354025e-06
50,mol_027_C3k3,C3k3,C1C2=C3CC4=C2CC3=C14,C3,True,True,True,True,True,15,0.9793095102874981,0.9793095102874981,0.8868806018725306,1.040939950555702,4.796711693331816e-17,converged,833.4256566183155,833.4256565571651,2.8941796174031583e-06
51,mol_028_C3k3,C3k3,C12C3C4C5C6C1C41C25C631,C3,True,True,True,True,True,15,1.144798292720543,1.2755483113139472,0.7830543961440571,1.2323810293749087,5.1843439638014076e-17,converged,2369.952941619645,2369.952941618658,6.14671355770541e-07
52,mol_029_C3k3,C3k3,CC1OC(C)OC(C)O1,C3v,True,True,True,True,True,21,1.1108050767471802,1.8058370399249573,0.9947496781910015,1.0442973772581792,3.8488312480383476e-17,converged,15.258459046282583,15.25845903605143,1.5948872175377635e-06
53,mol_030_C3k3,C3k3,C=CC1C(C=C)C1C=C,C3,True,True,True,True,True,21,1.0847006795531062,1.8713691764496319,0.8779904885452171,1.0381459350921898,5.718522917838173e-17,converged,284.7800291707943,284.78002909498707,2.4102624301656245e-06
54,mol_031_C3k3,C3k3,C=C1OC(=C)OC(=C)O1,D3h,True,True,True,True,True,15,1.082421398527943,1.8668682999272974,0.8730711755961482,1.0116089028594712,6.62009107533148e-17,converged,3.993431118369215,3.993431118177125,4.473022193208125e-07
55,mol_032_C3k3,C3k3,CN1CN(C)CN(C)C1,C3v,True,True,True,True,True,24,1.1112730008856735,1.7888132855883705,1.0008022970113528,1.0441604911413112,6.546139416680338e-17,converged,22.456930500662445,22.45693049444983,6.717190058068515e-07
56,mol_033_C3k3,C3k3,C1N2CN3CN1C1C2C13,C3v,True,True,True,True,True,18,1.1097769329567366,1.7854764858015453,0.9901925946391096,1.0419783810302918,9.59996429034313e-17,converged,314.25442126461706,314.2544212582153,2.5493612697693013e-06
57,mol_034_C3k3,C3k3,N1C2C3NC4C1C3NC24,C3,True,True,True,True,True,18,1.0525075992044668,1.4140366856127562,0.7842335186651653,1.3185229328483958,3.0216443455789297e-17,converged,1516.3976481725133,1516.3976478412044,5.1022662320389006e-06
58,mol_035_C3k3,C3k3,N=CC1C(C=N)C1C=N,C3,True,True,True,True,True,18,1.0301811529634455,2.0125896635944716,0.872473848044898,1.037956282895664,7.50358112718251e-17,converged,284.29184360271756,284.2918435029464,2.635910299868423e-06
59,mol_036_C3k3,C3k3,C1OC23COC24COC143,C3,True,True,True,True,True,15,1.1120007009268746,1.8477908086588584,0.9568952121439173,1.04251406619354,4.4408920985006264e-17,converged,586.0504460642359,586.0504460542177,3.523172628105269e-07
60,mol_037_C3k3,C3k3,C1=COC=COC=CO1,C3v,True,True,True,True,True,15,1.0825092025036813,2.096043435668615,0.8756141514302485,1.0116917033367032,7.349406455722818e-17,converged,60.18888561627795,60.188885614412285,4.2122076508618706e-07
61,mol_038_C3k3,C3k3,C1OC12C1(CO1)C21CO1,C3,True,True,True,True,True,15,1.1091520693526162,1.9309247776675587,0.9757482894445467,1.0389450469156805,7.401486830834377e-18,converged,1381.2674936723874,1381.2674936059336,7.235592795650414e-07
62,mol_039_C3k3,C3k3,C1C2CC3CC1n1n2n13,C3v,True,True,True,True,True,18,1.1094924094934275,1.8044985858685396,0.8905442928801621,1.0907496572732278,9.495370118789211e-17,converged,514.9375952334385,514.9375952078792,2.505647185942071e-06
63,mol_040_C3k3,C3k3,ONC1C(NO)C1NO,C3,True,True,True,True,True,18,0.9909553732840122,1.8696794424535066,0.9888374257033461,1.0388482935045333,6.643037733646463e-17,converged,280.88074285058525,280.88074280270655,2.91075890724795e-06
64,mol_041_C3k3,C3k3,OC1CC(O)CC(O)C1,C3,True,True,True,True,True,21,0.9929761432232918,1.7989160459384324,0.988211818282676,1.0429001638732593,2.8592614589190863e-17,converged,11.127625695159857,11.127625679065996,3.018025986706273e-06
65,mol_042_C3k3,C3k3,CC12C3C4C3C1(C)C42C,C3,True,True,True,True,True,21,1.1092007931362389,1.801194872346141,0.9945779045638492,1.0386444468556542,8.087212667148108e-17,converged,822.7067791470196,822.7067789989555,2.883963218632283e-06
66,mol_043_C3k3,C3k3,OC12C3C4(O)C1C3(O)C24,C3v,True,True,False,True,False,15,0.9940856408732806,1.7678325327055062,0.6971984297700565,1.3626527846254675,1.4802973661668754e-17,converged,1870.1027741774606,1870.1027731282331,4.009839289350361e-06
67,mol_044_C3k3,C3k3,C1C23C45CC26C42CC36C152,D3,True,True,True,True,True,15,1.1247354946126935,1.8425317799420904,0.9901962160459238,1.0511603440116801,1.0388481813759842e-16,converged,1378.5635966422356,1378.5635966231928,2.5784590044194074e-06
68,mol_045_C3k3,C3k3,C1C23CC4(CC1(O2)O4)O3,C3v,True,True,True,True,True,15,1.1271216166330797,1.6692011705785221,1.016712502708905,1.0609447816169206,4.9650683064945465e-17,converged,847.6664033430892,847.6664032903578,2.7999589491458654e-06
69,mol_046_C3k3,C3k3,CNC1C(NC)C1NC,C3,True,True,True,True,True,24,1.046097519931676,1.79791556657933,0.9947896057415859,1.0400271211925747,5.851389114294502e-17,converged,285.61110833710205,285.61110829120764,2.6020300286085046e-06
70,mol_047_C3k3,C3k3,CN1ON(C)ON(C)O1,C3v,True,True,True,True,True,18,1.110856240938449,1.7999007715577675,0.992647237781029,1.0400350495766537,8.366554342079136e-17,converged,10.572457579990042,10.572457579990042,6.345916809775951e-17
71,mol_048_C3k3,C3k3,CC12C3C4(C)C1C3(C)C24,C3v,True,True,True,True,True,21,1.0525766025474477,1.6434067915553636,0.6924846069391103,1.3367806557592714,6.539381140746054e-17,converged,1920.2793667645512,1920.2793662262634,6.839225110685293e-06
72,mol_049_C3k3,C3k3,OCC1C(CO)C1CO,C3,True,True,True,True,True,21,0.9925430433683617,1.7806468863981442,0.9859155649894877,1.0392738890819138,4.359587427164035e-17,converged,292.81653628412283,292.8165362680692,2.1162231140207815e-06
73,mol_050_C3k3,C3k3,C1C2C3CC4C1C4CC23,D3h,True,True,True,True,True,21,1.1100521804842445,1.7911852913733464,1.004127172926656,1.0379960307887226,4.3360538621960115e-17,converged,567.0959854421493,567.0959854377995,5.764907893031462e-06
74,mol_051_C3k3,C3k3,C12C3C1C14C5C26C1C35C64,C3,True,True,True,True,True,15,1.086691593866958,1.7378143292154509,0.7149286801756302,1.349578229521522,9.125165812557181e-17,converged,2179.653609510055,2179.6536092465367,2.6473505831462765e-06
75,mol_052_C3k3,C3k3,C1=CC=C=CC=C=CC=1,D3h,True,True,True,True,True,15,1.081648999159741,2.065306112279675,0.8615843364275413,1.0108875782315465,0.0,converged,7.2415155103197515,7.241515509698324,9.151158284191769e-08
76,mol_053_C3k3,C3k3,CCn1n(CC)n1CC,C3v,True,True,True,True,True,24,1.1102896577963026,1.807501084247649,0.93125818318208,1.038254754228468,9.251858538542972e-17,converged,0.03117464724236054,0.03117464724236054,3.615334639546945e-16
77,mol_054_C3k3,C3k3,C1CC12C1(CC1)C21CC1,C3,True,True,True,True,True,21,1.108005122555389,1.9204749390355722,0.9842972337104214,1.0384150515234027,2.364318241187879e-17,converged,1210.946495291127,1210.9464950752065,1.495610806556976e-06
78,mol_055_C3k3,C3k3,NCC1C(CN)C1CN,C3,True,True,True,True,True,24,1.0458770637690402,1.674915753620591,0.9925180582154578,1.0397627454817517,3.204937810639273e-17,converged,293.0528479223287,293.0528478435935,2.719082178815571e-06
79,mol_056_C3k3,C3k3,CC12N3C4(C)N1C3(C)N24,C3v,True,True,True,True,True,18,1.048463247610409,1.4442798045820289,0.7132403044968769,1.3018927769431734,2.7583712813858588e-17,converged,2677.4666711835403,2677.4666711670966,4.131083283581021e-06
80,mol_057_C3k3,C3k3,C1NOCNOCNO1,C3,True,True,True,True,True,18,1.0464962312109325,1.792543958715267,0.9931178165771676,1.0408610829809513,3.0216443455789297e-17,converged,13.446560541803969,13.446560541360984,2.002845243878028e-07
81,mol_058_C3k3,C3k3,O1C2C3OC3C3OC3C12,C3v,True,True,True,True,True,15,1.109720199184793,2.090186665363794,0.9758278007728136,1.037125291677005,1.6550227688315154e-17,converged,1023.1008571964501,1023.1008571698026,3.558365144328166e-06
82,mol_059_C3k3,C3k3,CC1NC(C)NC(C)N1,C3v,True,True,True,True,True,24,1.048111171164313,1.8003146570389108,0.9997792987102088,1.0436936776227324,9.703431097242436e-17,converged,13.906683713652008,13.906683708063342,5.956880132880585e-07
83,mol_060_C3k3,C3k3,CC1C23C(C)C24C(C)C134,C3v,True,True,True,True,True,21,1.109783815713668,1.8040558107838027,1.0010285624425657,1.0400923886328302,1.0300949899924929e-16,converged,1039.103031938503,1039.1030316454646,5.130806802678535e-06
84,mol_061_C3k3,C3k3,C1C2=C3C4=C1CC(=C34)C2,C3v,True,True,True,True,True,15,1.1123137466642818,1.79002091128794,0.8155109003883371,1.066219671037454,2.0934566115783667e-17,converged,534.5263228733905,534.5263228515672,1.7985475756481004e-06
85,mol_062_C3k3,C3k3,CC1(N)C(C)(N)C1(C)N,C3,True,True,True,True,True,24,1.0453731801426769,1.6841435274082082,0.9953159688473969,1.037284641346007,8.825710545880231e-17,converged,303.0238727126967,303.0238726729389,3.3959164725524946e-06
86,mol_063_C3k3,C3k3,NOC1C(ON)C1ON,C3,True,True,True,True,True,18,1.044887837123975,1.6745887977554983,0.9882483623545922,1.0396368546209525,7.826194963971498e-17,converged,279.8094638963661,279.80946379440616,1.6915541883155815e-06
87,mol_064_C3k3,C3k3,O1C2OC3OC1C1C2C31,C3v,True,True,True,True,True,15,1.1096663844412584,2.1045651244486603,0.9841959905608166,1.037330496114488,8.107922592650823e-17,converged,312.5413369788375,312.5413369702403,8.874604436746473e-07
88,mol_065_C3k3,C3k3,CN1NN(C)NN(C)N1,C3v,True,True,True,True,True,21,1.049212807131548,1.7895163555462268,0.9949032301187537,1.0403182770524682,3.1830608463277786e-17,converged,17.55366976078013,17.55366975147381,2.5887460584151926e-06
89,mol_066_C3k3,C3k3,C12C3C14C1C5C21C1C4C351,C3,True,True,True,False,False,15,0.7614427424623859,0.7614427424623859,0.8061446476433013,1.1856469739128805,7.971645280375756e-17,converged,2578.560329169976,1919.3122042900457,1.3299448681189578
90,mol_067_C3k3,C3k3,C1C23CC45CC16C21C34C651,C3v,True,True,True,True,True,15,1.1153436265119998,1.7757280101605213,0.9220893936684387,1.0496269927059212,1.3728960044034561e-16,converged,1386.0533318869584,1386.053331878026,4.505759104888135e-06
91,mol_068_C3k3,C3k3,NCn1n(CN)n1CN,C3,True,True,True,True,True,21,1.0456672107159453,1.6774921826970173,0.9313112246774728,1.0391762074717965,1.2067291304316726e-16,converged,2.370998680800128,2.370998680403642,1.978934986907212e-07
92,mol_069_C3k3,C3k3,C12C3C1C1C45C2C42C3C125,C3v,True,True,True,True,True,15,1.109158157655469,2.262270689752103,0.9962769189692855,1.0371185158934677,1.2989556670864687e-16,converged,1321.737623020471,1321.7376229948172,6.928251461338425e-07
93,mol_070_C3k3,C3k3,N1C2C3NC4C1C4NC23,C3h,True,True,True,True,True,18,1.0455141821809464,2.035621748166368,0.9974644106424353,1.0378543669191491,5.756400725766034e-17,converged,586.4264340721453,586.4264340145658,2.7149718387370817e-06
94,mol_071_C3k3,C3k3,C12C3C4C5C6C1C61C23C451,C3v,True,True,True,True,True,15,1.1105121480797786,2.1421916270365,0.9856749095338097,1.0378647246329624,4.7392639719555644e-17,converged,1241.6536545255296,1241.6536545251479,1.7159851430605935e-06
95,mol_072_C3k3,C3k3,C1C23C14C15CC21C31CC451,C3h,True,True,True,True,True,15,1.1091194552941916,1.9210554449297355,0.9813459654363611,1.043503009161446,7.060997555471324e-17,converged,1636.974641972642,1636.9746419585792,1.851508619554426e-06
96,mol_073_C3k3,C3k3,CNn1n(NC)n1NC,C3h,True,True,True,True,True,21,1.0441791887635161,1.8091570829610735,0.9313305926375409,1.0376719931463125,3.037021769803878e-17,converged,-1.7882945650825393,-1.7882945650825393,9.121922151897961e-16
97,mol_074_C3k3,C3k3,C1NC12C1(CN1)C21CN1,C3,True,True,True,True,True,18,1.0457506030844037,1.923337196570345,0.9767716774546438,1.0394412249304035,3.949386643296304e-17,converged,1408.0168287655868,1408.0168280629148,2.3230048938505772e-06
