package_index,molecule_id,source_group,smiles,target_pg,atom_count,heavy_atom_count,explicit_h_count,seed,minimum_pair_distance_angstrom,maximum_operation_error_angstrom,final_xyz,final_xyz_sha256
14,mol_015_C3k2,C3k2,C1NCNCN1,C3,15,6,9,2026082915,1.0468482524067015,1.4217791915866692e-15,C3k2/xyz/mol_015_C3k2.xyz,b48389fdd64a9a08f9714d3b360e833af343b57b5bce6009b9041988aa0b7498
15,mol_016_C3k2,C3k2,O=C1C(=O)C1=O,C3,6,6,0,2026082916,1.2579103680492114,1.27675647831893e-15,C3k2/xyz/mol_016_C3k2.xyz,cdacb7ce87b7f3127a412b0a6579dc567982f6ab0378bf1c184b74938e63efd6
16,mol_017_C3k2,C3k2,NC1C(N)C1N,C3,15,6,9,2026082917,1.0450396643715538,1.3517848686956847e-15,C3k2/xyz/mol_017_C3k2.xyz,2a3ff1706999d4488cdcfcf54819056f8ea87399d93fe4c386663645222ef65b
17,mol_018_C3k2,C3k2,Nn1n(N)n1N,C3,12,6,6,2026082918,1.0434261769621018,1.6011864169946884e-15,C3k2/xyz/mol_018_C3k2.xyz,d53f2361e54f0afe2c1ee456f4fa7c6dcacb7c871d693334cbec0112e59ab843
18,mol_019_C3k2,C3k2,C12C3C1n1n2n13,C3,9,6,3,2026082919,0.9023811245260345,7.108895957933346e-16,C3k2/xyz/mol_019_C3k2.xyz,9d94349f092f56df3f2c0af01d29c39159775dc743d3431d5d5c4a21d6370bdd
19,mol_020_C3k2,C3k2,N1ONONO1,C3,9,6,3,2026082920,1.044565938420157,1.1957467920563633e-15,C3k2/xyz/mol_020_C3k2.xyz,bd0417c4fa43750877e480a1a1a877e11f864c42235f9cc18e6c5d595cf4fc38
20,mol_021_C3k2,C3k2,C12N3C4N1C3N24,C3,9,6,3,2026082921,1.0712541452403166,1.0235750533041806e-15,C3k2/xyz/mol_021_C3k2.xyz,7f76d84bebcf72cac57e99f6d4c4eb219ad8108d11eb1e51796a9f773284109b
21,mol_022_C3k2,C3k2,O1C23OC24OC134,C3,6,6,0,2026082922,1.4092278494140364,8.005932084973442e-16,C3k2/xyz/mol_022_C3k2.xyz,332e94a50c9b64b7702cc10eb7c1e12b0a2fdeefbbc3d4d9411aa98c57adaf0f
22,mol_023_C3k2,C3k2,c12c3c1c1c2c31,C3,6,6,0,2026082923,1.0942547182999147,3.775166431889533e-16,C3k2/xyz/mol_023_C3k2.xyz,6d8228f9e89d2d167f9cb33236e182c831184a260f3def68dc4045012390f688
23,mol_024_C3k2,C3k2,C123C45C16C21C34C561,C3,6,6,0,2026082924,1.5139999519529057,5.377642775528102e-16,C3k2/xyz/mol_024_C3k2.xyz,bc69cd4a8cf2a0357cdbf038ef37cccddc1c83cf514275b6aff19c0f4310fa3e
24,mol_001_C3k3,C3k3,CC1CC(C)CC(C)C1,C3,27,9,18,2026082925,1.1109006430100232,2.1868857395626282e-15,C3k3/xyz/mol_001_C3k3.xyz,126b73515d58de517b8903b4a1ea2f631d9b24ee6d2fee0284c1f4c99302a65f
25,mol_002_C3k3,C3k3,C1=C2C3C=C4C1C3=CC24,C3,15,9,6,2026082926,0.8476516924372384,1.790180836524724e-15,C3k3/xyz/mol_002_C3k3.xyz,fb4e63085dc8732d7bdaccc5ca41936e96c77540de35b7f8663a869bc4143952
26,mol_003_C3k3,C3k3,Nc1cc(N)cc(N)c1,C3,18,9,9,2026082927,1.0444519051689982,2.1868857395626282e-15,C3k3/xyz/mol_003_C3k3.xyz,cdade9d0bfaf1f6bb109fdf39763ec6104bab611e0090ea0aa4de18e998f6986
27,mol_004_C3k3,C3k3,C1=CCC=CCC=CC1,C3,21,9,12,2026082928,1.086585775537324,1.7342238036525468e-15,C3k3/xyz/mol_004_C3k3.xyz,cf9b4f6821f6f51fd1812a657746bc884e896a024c5ca2abdc6ee8775c9b9899
28,mol_005_C3k3,C3k3,C1C2C3CC4C1C3CC24,C3,21,9,12,2026082929,1.1169373039839954,1.6699540590904642e-15,C3k3/xyz/mol_005_C3k3.xyz,66e12ca391e3f9a91a0afac2b6bddb8531ad6ed45658bd5b0a29269ab0ef74ff
29,mol_006_C3k3,C3k3,COC1C(OC)C1OC,C3,21,9,12,2026082930,1.1092716462392567,2.0471501066083613e-15,C3k3/xyz/mol_006_C3k3.xyz,9979d2a7046929a8cfe2bfaa9047c50becbfd74af0008db6371512bbace66b62
30,mol_007_C3k3,C3k3,C1CC23CCC24CCC134,C3,21,9,12,2026082931,1.11166722671062,2.0471501066083613e-15,C3k3/xyz/mol_007_C3k3.xyz,69463e49c48a67f0507514052ad94f355d78a6238221a5a9bd146565c82a30ef
31,mol_008_C3k3,C3k3,C1=CC23C=CC24C=CC134,C3,15,9,6,2026082932,1.0867091618895999,1.616509124176106e-15,C3k3/xyz/mol_008_C3k3.xyz,09563fdbb04eafd67f0bd535921baeaf5b4fd0d6518b822e70742f2c53f71fda
32,mol_009_C3k3,C3k3,C1C23CC14CC(C2)(C3)C4,C3,21,9,12,2026082933,1.1246419551316686,1.4217791915866692e-15,C3k3/xyz/mol_009_C3k3.xyz,da0835368242675dca7bdc360fe052380b2fd9f353edfb2d9c50cdfc545020ad
33,mol_010_C3k3,C3k3,OC1OC(O)OC(O)O1,C3,15,9,6,2026082934,0.9928973101469337,2.0471501066083613e-15,C3k3/xyz/mol_010_C3k3.xyz,0dc7433c831ff40e991d19f75a5ceb75c8a144237a95b8bb52c585552e57010a
34,mol_011_C3k3,C3k3,C1CCCCCCCC1,C3,27,9,18,2026082935,1.1067902031951231,2.085919684541963e-15,C3k3/xyz/mol_011_C3k3.xyz,d90ebb2c1367d6b78edef5f1dca943adaeba36daf08d5b1af170348b248cd0b8
35,mol_012_C3k3,C3k3,C=C1CC(=C)CC(=C)C1,C3,21,9,12,2026082936,1.085834581410742,2.1868857395626282e-15,C3k3/xyz/mol_012_C3k3.xyz,7112092f95de62648410fc6ae7e0b90596e0daa5f0b775a38360044a85d00224
36,mol_013_C3k3,C3k3,CC1(C)C(C)(C)C1(C)C,C3,27,9,18,2026082937,1.1040084523098503,1.6946818973100072e-15,C3k3/xyz/mol_013_C3k3.xyz,1499773e4f4456528a72de75c4c8900fd1184c1d6746f55615d204b995a24a55
37,mol_014_C3k3,C3k3,Cc1cc(C)cc(C)c1,C3,21,9,12,2026082938,1.0838248628166318,2.0539125955565396e-15,C3k3/xyz/mol_014_C3k3.xyz,7cb72c2206074a16faf31d2900cf228eacc40ed433d72e34a4adc57bd23a8a39
38,mol_015_C3k3,C3k3,CC1(O)C(C)(O)C1(C)O,C3,21,9,12,2026082939,0.9918627569774799,1.5700924586837751e-15,C3k3/xyz/mol_015_C3k3.xyz,f6cd0f5f1e0d0ae473c6b7e194dcb30f44c0929b297047494625bb54dd814497
39,mol_016_C3k3,C3k3,CCC1C(CC)C1CC,C3,27,9,18,2026082940,1.1053709885343346,2.220446049250313e-15,C3k3/xyz/mol_016_C3k3.xyz,5ff08e89ff0d6548254eac8b4f50d63094a251e138991f6323deeac0dfda3533
40,mol_017_C3k3,C3k3,C1C23CC4(CC1(N2)N4)N3,C3,18,9,9,2026082941,1.0606213864130731,1.4217791915866692e-15,C3k3/xyz/mol_017_C3k3.xyz,c1c1652daa6537b6e35cce84a230a3c23ed850168f7ed1ef6cecb038ce32dd37
41,mol_018_C3k3,C3k3,C1C2CC3CC1C1C2C31,C3,21,9,12,2026082942,1.109928989701324,1.616509124176106e-15,C3k3/xyz/mol_018_C3k3.xyz,1529d7ad3e06547bc3e1c2b6d15bc3fa13a28ff9e18690f1fce8a329f8dd2d12
42,mol_019_C3k3,C3k3,C1=C2C=C3C=C1C1C2C31,C3,15,9,6,2026082943,1.0835043183266404,9.155133597044475e-16,C3k3/xyz/mol_019_C3k3.xyz,5d31b20b597c4e6b531fc7845e6f02798d2df990e9dd874d553db36e8b638f6b
43,mol_020_C3k3,C3k3,NC1CC(N)CC(N)C1,C3,24,9,15,2026082944,1.0462003531578732,2.220446049250313e-15,C3k3/xyz/mol_020_C3k3.xyz,6b35c0d210567f3b719d2e70c3eb78c48990bd6f7bc6d52f378ea8e6355c6a58
44,mol_021_C3k3,C3k3,C1CNCCNCCN1,C3,24,9,15,2026082945,1.0471861066718062,1.7763568394002505e-15,C3k3/xyz/mol_021_C3k3.xyz,80e7093ea54f80c4059e9fc60b0f3749f7d6acb3f9eadd365b22ecbc32ebd751
45,mol_022_C3k3,C3k3,CC=C1C(=CC)C1=CC,C3,21,9,12,2026082946,1.0822361266662501,2.3314683517128287e-15,C3k3/xyz/mol_022_C3k3.xyz,2c2563294ed536347f95d4d30e78b33552271a8745d3b370a1f8d0c8a7b3371f
46,mol_023_C3k3,C3k3,o1c2oc3oc1c1c2c31,C3,9,9,0,2026082947,1.2481682247494557,8.95090418262362e-16,C3k3/xyz/mol_023_C3k3.xyz,8eca67832f2ba0648a7257d2bfed41cc8885c18d3419b77cc12c9e21f2075089
47,mol_024_C3k3,C3k3,C1COCCOCCO1,C3,21,9,12,2026082948,1.11068495632458,1.7235296186091125e-15,C3k3/xyz/mol_024_C3k3.xyz,5e9709b0c97eb1c37f9b93c6a324810e1a7268be3721796f045b87807bc42c16
48,mol_025_C3k3,C3k3,C1c2c3c(c4c(c21)C4)C3,C3,15,9,6,2026082949,1.1529467892271439,1.6011864169946884e-15,C3k3/xyz/mol_025_C3k3.xyz,91389e680ebe2c0ac1ebb67158570dd2b4a3c4eafbc5832a59dc3ff9fadfc9c4
49,mol_026_C3k3,C3k3,C1C2C3CC3C3CC3C12,C3,21,9,12,2026082950,1.0953496136588252,1.790180836524724e-15,C3k3/xyz/mol_026_C3k3.xyz,69e065223dc4754225bcd7f1135691154021d105fb4ad486aaf8b3d1b0cd0b5e
50,mol_027_C3k3,C3k3,C1C2=C3CC4=C2CC3=C14,C3,15,9,6,2026082951,0.9793095102874981,1.6011864169946884e-15,C3k3/xyz/mol_027_C3k3.xyz,83536a81c2c1ddc090e8ea562ae6e082be6a5f0f518c956e4c0a4d87af38bab1
51,mol_028_C3k3,C3k3,C12C3C4C5C6C1C41C25C631,C3,15,9,6,2026082952,1.144798292720543,1.4217791915866692e-15,C3k3/xyz/mol_028_C3k3.xyz,1387cef11fbf71d80acab5c24637769d8878c5606c8e02db85d04ec8c6f36f8b
52,mol_029_C3k3,C3k3,CC1OC(C)OC(C)O1,C3,21,9,12,2026082953,1.1108050767471802,2.0471501066083613e-15,C3k3/xyz/mol_029_C3k3.xyz,96abacc173f052d649bf2934c3166c96a488fc60a3a6e98cd3b5d5fc670c6f6f
53,mol_030_C3k3,C3k3,C=CC1C(C=C)C1C=C,C3,21,9,12,2026082954,1.0847006795531062,1.9567680809018384e-15,C3k3/xyz/mol_030_C3k3.xyz,4aaf6a3ce2bdd0bb6cace40951b5884a6ffc05850c63113e6a96e3077bdb8e6e
54,mol_031_C3k3,C3k3,C=C1OC(=C)OC(=C)O1,C3,15,9,6,2026082955,1.082421398527943,2.1868857395626282e-15,C3k3/xyz/mol_031_C3k3.xyz,3f38f0e3c7969f41f94cd277aa7edd9ee3624a75e8615ae989ead2bafe2e9d0a
55,mol_032_C3k3,C3k3,CN1CN(C)CN(C)C1,C3,24,9,15,2026082956,1.1112730008856735,2.220446049250313e-15,C3k3/xyz/mol_032_C3k3.xyz,21d159d2b692cb74a728a4afd67eb731dc7cd2040e49d9f1f4503a964efbd57a
56,mol_033_C3k3,C3k3,C1N2CN3CN1C1C2C13,C3,18,9,9,2026082957,1.1097769329567366,1.6653345369377348e-15,C3k3/xyz/mol_033_C3k3.xyz,ceb3892438e288effa34ac787280ffa8289d9e960f21461c30f41fa6b77454c7
57,mol_034_C3k3,C3k3,N1C2C3NC4C1C3NC24,C3,18,9,9,2026082958,1.0525075992044668,1.4895204919483639e-15,C3k3/xyz/mol_034_C3k3.xyz,12442cd5cb3e8eff576462eab24e50354aefe8656defde6ae92eb3b152e10626
58,mol_035_C3k3,C3k3,N=CC1C(C=N)C1C=N,C3,18,9,9,2026082959,1.0301811529634455,1.831026719408895e-15,C3k3/xyz/mol_035_C3k3.xyz,441ce3a0d57419b8b716ec957040358bb6a8db08f5653d6e87a43a187314dd9f
59,mol_036_C3k3,C3k3,C1OC23COC24COC143,C3,15,9,6,2026082960,1.1120007009268746,1.4432899320127035e-15,C3k3/xyz/mol_036_C3k3.xyz,6517840ee39b92fe2a7a8d46e545fec9726409467e994b7726fdfc8a35e7c76c
60,mol_037_C3k3,C3k3,C1=COC=COC=CO1,C3,15,9,6,2026082961,1.0825092025036813,2.0471501066083613e-15,C3k3/xyz/mol_037_C3k3.xyz,d8ec6aa9265767f5f9f31d6a73340a8ea13a1c453131e05e3fb84c97c75204e8
61,mol_038_C3k3,C3k3,C1OC12C1(CO1)C21CO1,C3,15,9,6,2026082962,1.1091520693526162,1.88411095042053e-15,C3k3/xyz/mol_038_C3k3.xyz,4ae7b44b34dac3d742c3e99896a2e9070502b86e42b197aa3cff1c508b576065
62,mol_039_C3k3,C3k3,C1C2CC3CC1n1n2n13,C3,18,9,9,2026082963,1.1094924094934275,1.790180836524724e-15,C3k3/xyz/mol_039_C3k3.xyz,79644380d432304ad53df9288ee466fd9010e7cf82085b27c19b03cd4714730f
63,mol_040_C3k3,C3k3,ONC1C(NO)C1NO,C3,18,9,9,2026082964,0.9909553732840122,1.7342238036525468e-15,C3k3/xyz/mol_040_C3k3.xyz,a026bfca46ce675232fb9c281d65af85501695e9cf162027c7b7a6fb64653e63
64,mol_041_C3k3,C3k3,OC1CC(O)CC(O)C1,C3,21,9,12,2026082965,0.9929761432232918,2.1868857395626282e-15,C3k3/xyz/mol_041_C3k3.xyz,2a7abfbc3982f86304eab975a4c1d92e8fe48bbeabb7ef6c8230859adf4945ef
65,mol_042_C3k3,C3k3,CC12C3C4C3C1(C)C42C,C3,21,9,12,2026082966,1.1092007931362389,1.6011864169946884e-15,C3k3/xyz/mol_042_C3k3.xyz,af7089f9aa9e527d8683d6d8de5ea4b02ccf3b414dedfb7b2957de697af07b41
66,mol_043_C3k3,C3k3,OC12C3C4(O)C1C3(O)C24,C3,15,9,6,2026082967,0.9940856408732806,1.3877787807814457e-15,C3k3/xyz/mol_043_C3k3.xyz,698306603ed7972df98ab69b91124d4915308c704717cef8931d80a8e8e4b3c5
67,mol_044_C3k3,C3k3,C1C23C45CC26C42CC36C152,C3,15,9,6,2026082968,1.1247354946126935,1.6011864169946884e-15,C3k3/xyz/mol_044_C3k3.xyz,28484d92356f45d5d7a45d059498ab60da90a21e685d0888ce2f8eb66e9251fe
68,mol_045_C3k3,C3k3,C1C23CC4(CC1(O2)O4)O3,C3,15,9,6,2026082969,1.12712161663308,1.4405894101501018e-15,C3k3/xyz/mol_045_C3k3.xyz,bac5707ee8722fcd3145a849169011ba7449a0d93bbff5c8582cec5ef78e2af2
69,mol_046_C3k3,C3k3,CNC1C(NC)C1NC,C3,24,9,15,2026082970,1.046097519931676,1.88411095042053e-15,C3k3/xyz/mol_046_C3k3.xyz,a337c255200239e45019d66d8fe5cbab9a3ea7871d483819972d05b0d04fa56c
70,mol_047_C3k3,C3k3,CN1ON(C)ON(C)O1,C3,18,9,9,2026082971,1.110856240938449,1.831026719408895e-15,C3k3/xyz/mol_047_C3k3.xyz,f01590e684e4a87d414f2f2256161c7bb66f80576bf62ac2e6708203699a76ab
71,mol_048_C3k3,C3k3,CC12C3C4(C)C1C3(C)C24,C3,21,9,12,2026082972,1.0525766025474477,2.0261570199409107e-15,C3k3/xyz/mol_048_C3k3.xyz,27b98af65b649efe7b321a61157226bec3a2991da342977cdfa4a80e085f458d
72,mol_049_C3k3,C3k3,OCC1C(CO)C1CO,C3,21,9,12,2026082973,0.9925430433683617,1.831026719408895e-15,C3k3/xyz/mol_049_C3k3.xyz,3583de3b6492d8c46fe3827907979f9b2171127ad764baad4380ade761be2581
73,mol_050_C3k3,C3k3,C1C2C3CC4C1C4CC23,C3,21,9,12,2026082974,1.1100521804842445,1.6011864169946884e-15,C3k3/xyz/mol_050_C3k3.xyz,78b9947ed4239ac8536d6748efa783537845ef44fa7a2874d116e7c7a2194896
74,mol_051_C3k3,C3k3,C12C3C1C14C5C26C1C35C64,C3,15,9,6,2026082975,1.086691593866958,8.617648093045562e-16,C3k3/xyz/mol_051_C3k3.xyz,3491dbe830f7bd59474802619e1e71f4b8be3d06e53fdda852d258a916d9754f
75,mol_052_C3k3,C3k3,C1=CC=C=CC=C=CC=1,C3,15,9,6,2026082976,1.081648999159741,1.8839096949108125e-15,C3k3/xyz/mol_052_C3k3.xyz,7b4c8f2fcb309149c99e6d3152e85420e983fa7ca055f0ce36dce4e2db736a10
76,mol_053_C3k3,C3k3,CCn1n(CC)n1CC,C3,24,9,15,2026082977,1.1102896577963026,2.2644195468014703e-15,C3k3/xyz/mol_053_C3k3.xyz,944c49b360b98ab4dc58a4fb204ce2643aba9e1273480a751dc8d8a17e64d670
77,mol_054_C3k3,C3k3,C1CC12C1(CC1)C21CC1,C3,21,9,12,2026082978,1.108005122555389,1.884928529521895e-15,C3k3/xyz/mol_054_C3k3.xyz,e641666e9614fcd61a5476e61b3520ffa9bc32e2ea05316f3d9f3ffcc7942274
78,mol_055_C3k3,C3k3,NCC1C(CN)C1CN,C3,24,9,15,2026082979,1.0458770637690402,2.1094237467877974e-15,C3k3/xyz/mol_055_C3k3.xyz,90bee2cc83ebb8980e6b0c0314bcc99ba59447cae0009d979d92ec31bbf506a1
79,mol_056_C3k3,C3k3,CC12N3C4(C)N1C3(C)N24,C3,18,9,9,2026082980,1.048463247610409,1.790180836524724e-15,C3k3/xyz/mol_056_C3k3.xyz,a7307cf995e8dc8bcae0af0ecb881be653c16ccdb1d90494a1ed206d6461585d
80,mol_057_C3k3,C3k3,C1NOCNOCNO1,C3,18,9,9,2026082981,1.0464962312109325,1.6011864169946884e-15,C3k3/xyz/mol_057_C3k3.xyz,fa5eebb1170fed362d7f9d614ad1a74970a102c3c645ffe81740ba30049f7ca6
81,mol_058_C3k3,C3k3,O1C2C3OC3C3OC3C12,C3,15,9,6,2026082982,1.109720199184793,1.616509124176106e-15,C3k3/xyz/mol_058_C3k3.xyz,43ff3bb030afe68f04e11e7b33aeb5596807f8f6dd367af89bdfb924acc03dda
82,mol_059_C3k3,C3k3,CC1NC(C)NC(C)N1,C3,24,9,15,2026082983,1.048111171164313,2.220446049250313e-15,C3k3/xyz/mol_059_C3k3.xyz,8857adcb90ad92770a5667eb0e5ee1381ca03cc85220b9d83c40b67e5442234e
83,mol_060_C3k3,C3k3,CC1C23C(C)C24C(C)C134,C3,21,9,12,2026082984,1.109783815713668,2.220446049250313e-15,C3k3/xyz/mol_060_C3k3.xyz,d44b5accb2eb0567967edec6f286695e53ec65e377d82b3509095adfb70f4eed
84,mol_061_C3k3,C3k3,C1C2=C3C4=C1CC(=C34)C2,C3,15,9,6,2026082985,1.1123137466642818,1.6011864169946884e-15,C3k3/xyz/mol_061_C3k3.xyz,7b819cdee9e0bf2310a000a624fd93dea936679713e65c8dbbd0cb91b521f1e2
85,mol_062_C3k3,C3k3,CC1(N)C(C)(N)C1(C)N,C3,24,9,15,2026082986,1.0453731801426769,1.616509124176106e-15,C3k3/xyz/mol_062_C3k3.xyz,749aa49b8bf8e5e51b7df62d16f5ec51cc7b20cbf10b8c6078f26a704c2d7502
86,mol_063_C3k3,C3k3,NOC1C(ON)C1ON,C3,18,9,9,2026082987,1.044887837123975,1.831026719408895e-15,C3k3/xyz/mol_063_C3k3.xyz,674a4919ae266be8d289c03538301036ae51ba7ff57eb8a337d79af7c197d7f5
87,mol_064_C3k3,C3k3,O1C2OC3OC1C1C2C31,C3,15,9,6,2026082988,1.1096663844412584,1.3322676295501878e-15,C3k3/xyz/mol_064_C3k3.xyz,02f8376b34b1f02886a49bad81daf96baca6a9aaf7fed958ec38ac76e8a7df95
88,mol_065_C3k3,C3k3,CN1NN(C)NN(C)N1,C3,21,9,12,2026082989,1.049212807131548,2.0471501066083613e-15,C3k3/xyz/mol_065_C3k3.xyz,f0f107afc18042ac5f3f6d342bfc0385b3c73f4922cf8cc29ee7c85a4a1ac8a8
89,mol_066_C3k3,C3k3,C12C3C14C1C5C21C1C4C351,C3,15,9,6,2026082990,0.7614427424623859,1.4217791915866692e-15,C3k3/xyz/mol_066_C3k3.xyz,dfa7a7eb9c5b7fe2aa2c6b7afaec8a2e4a9ff8c935a11a0d0b53f1c6b793884c
90,mol_067_C3k3,C3k3,C1C23CC45CC16C21C34C651,C3,15,9,6,2026082991,1.1153436265119998,1.4155343563970746e-15,C3k3/xyz/mol_067_C3k3.xyz,06992b7d8445ce0ab2a34a31745e00974abca0c91b04c2dd4571e7d31697e5c5
91,mol_068_C3k3,C3k3,NCn1n(CN)n1CN,C3,21,9,12,2026082992,1.0456672107159453,2.220446049250313e-15,C3k3/xyz/mol_068_C3k3.xyz,c96b95958a0cc108db626dbdc3219c44bb0097fa857b029e77fb02d3a7437c44
92,mol_069_C3k3,C3k3,C12C3C1C1C45C2C42C3C125,C3,15,9,6,2026082993,1.109158157655469,1.616509124176106e-15,C3k3/xyz/mol_069_C3k3.xyz,9e09d985437aeeb26357a4dee7fc90cfbc897e385e1d12cf4a1301da4e37a82e
93,mol_070_C3k3,C3k3,N1C2C3NC4C1C4NC23,C3,18,9,9,2026082994,1.0455141821809464,1.4220500840710913e-15,C3k3/xyz/mol_070_C3k3.xyz,50aaf026be5d182558e4404e1ffa7a272fcfb67dd50c0ea95d2b1dcc62da74d2
94,mol_071_C3k3,C3k3,C12C3C4C5C6C1C61C23C451,C3,15,9,6,2026082995,1.1105121480797786,1.6011864169946884e-15,C3k3/xyz/mol_071_C3k3.xyz,d7c22e4f2c881114e1da6ccba9f50b0d8deeacce8ba4a16a591af463e19fec06
95,mol_072_C3k3,C3k3,C1C23C14C15CC21C31CC451,C3,15,9,6,2026082996,1.1091194552941916,2.1868857395626282e-15,C3k3/xyz/mol_072_C3k3.xyz,9a9d77a2314648cc571be729734170c81d98aa13251f06e5742d2d64c68d1a76
96,mol_073_C3k3,C3k3,CNn1n(NC)n1NC,C3,21,9,12,2026082997,1.0441791887635161,2.7200464103316335e-15,C3k3/xyz/mol_073_C3k3.xyz,fbb3dfe21f40101497262194bd18ab15b8c05fe17de2c6527b93cd97cbfafcef
97,mol_074_C3k3,C3k3,C1NC12C1(CN1)C21CN1,C3,18,9,9,2026082998,1.0457506030844037,1.88411095042053e-15,C3k3/xyz/mol_074_C3k3.xyz,a28fd3c5970deeab1b2c639741423cc29838c5c7b614c57970c8014d9e501368
